********************************************************************************
This is automation Script This file is created at:Fri Jun 20 13:06:53 2025
********************************************************************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 12208, 'username': None, 'name': 'svchost.exe'}
{'pid': 12628, 'username': None, 'name': 'dwm.exe'}
{'pid': 12744, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 13008, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'ApplicationFrameHost.exe'}
{'pid': 13076, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedge.exe'}
{'pid': 13124, 'username': None, 'name': 'svchost.exe'}
{'pid': 13228, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 13292, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'CrossDeviceService.exe'}
{'pid': 13380, 'username': None, 'name': 'MfeAVSvc.exe'}
{'pid': 13480, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'conhost.exe'}
{'pid': 13624, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 13656, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 13688, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'SearchHost.exe'}
{'pid': 13740, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 13884, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'ONENOTEM.EXE'}
{'pid': 13892, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'conhost.exe'}
{'pid': 13952, 'username': None, 'name': 'mcapexe.exe'}
{'pid': 14192, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 14376, 'username': None, 'name': 'mcshield.exe'}
{'pid': 14588, 'username': None, 'name': 'SecurityHealthService.exe'}
{'pid': 14736, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 15052, 'username': None, 'name': 'svchost.exe'}
{'pid': 15288, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'RuntimeBroker.exe'}
{'pid': 15844, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'cmd.exe'}
{'pid': 16392, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 16408, 'username': None, 'name': 'svchost.exe'}
{'pid': 16548, 'username': None, 'name': 'svchost.exe'}
{'pid': 16552, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 16664, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'LockApp.exe'}
{'pid': 16752, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 16936, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedge.exe'}
{'pid': 17196, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedge.exe'}
{'pid': 17288, 'username': None, 'name': 'svchost.exe'}
{'pid': 17324, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'svchost.exe'}
{'pid': 17344, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'taskhostw.exe'}
{'pid': 17392, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'sihost.exe'}
{'pid': 17412, 'username': None, 'name': 'svchost.exe'}
{'pid': 17476, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'ModuleCoreService.exe'}
{'pid': 17520, 'username': None, 'name': 'servicehost.exe'}
{'pid': 17612, 'username': None, 'name': 'svchost.exe'}
{'pid': 17708, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 17848, 'username': None, 'name': 'winlogon.exe'}
{'pid': 18024, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 18368, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'svchost.exe'}
{'pid': 18424, 'username': None, 'name': 'sqlceip.exe'}
{'pid': 18472, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 18568, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'HxOutlook.exe'}
{'pid': 19208, 'username': None, 'name': 'svchost.exe'}
{'pid': 19268, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 19296, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'Code.exe'}
{'pid': 19344, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'svchost.exe'}
{'pid': 19364, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'AsusSystemAnalysis.exe'}
{'pid': 19608, 'username': None, 'name': 'unsecapp.exe'}
{'pid': 19684, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'msedgewebview2.exe'}
{'pid': 19688, 'username': 'LAPTOP-09V6AV28\\Priti', 'name': 'svchost.exe'}
{'pid': 19760, 'username': None, 'name': 'svchost.exe'}
{'pid': 19940, 'username': None, 'name': 'svchost.exe'}
{'pid': 20028, 'username': None, 'name': 'sqlceip.exe'}
{'pid': 20048, 'username': None, 'name': 'sqlservr.exe'}
