********************************************************************************
This is automation Script This file is created at:Fri Jun 20 13:29:08 2025
********************************************************************************
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 21968, 'name': 'msedgewebview2.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 22044, 'name': 'dllhost.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 22076, 'name': 'Code.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 22156, 'name': 'AsusOptimizationStartupTask.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 22412, 'name': 'Code.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 22760, 'name': 'Code.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 23172, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 23280, 'name': 'svchost.exe', 'username': None}
{'pid': 23316, 'name': 'msedge.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
{'pid': 23524, 'name': 'IGCCTray.exe', 'username': 'LAPTOP-09V6AV28\\Priti'}
********************************************************************************
